Наименование товара;Артикул;Розничная цена;Остаток на складе
Нагреватель для аквариума Newa Therm next NTX300W;00_87_005;2250.00;1
Нагреватель для аквариума Newa Therm mini NWO-20P;00_35_058;1650.00;3
Помпа для аквариума Newa Jet NJ800;00_32_055;1720.00;1
Помпа для аквариума Newa Jet NJ1700;00_33_055;3470.00;7
Нагреватель для аквариума Newa Therm VTX25W;00_12_560;1580.00;3
Нагреватель для аквариума Newa Therm VTX50W;00_12_561;1580.00;1
Нагреватель для аквариума Newa Therm VTX75W;00_12_562;1610.00;5
Нагреватель для аквариума Newa Therm VTX100W;00_12_563;1610.00;3
Нагреватель для аквариума Newa Therm VTX150W;00_12_564;1760.00;5
Нагреватель для аквариума Newa Therm VTX200W;00_12_565;1760.00;4
Нагреватель для аквариума Newa Therm VTX250W;00_12_566;1830.00;4
Нагреватель для аквариума Newa Therm VTX300W;00_12_567;1830.00;1
Нагреватель для аквариума Newa Therm eco VTO25W;00_36_110;1140.00;18
Нагреватель для аквариума Newa Therm eco VTO50W;00_36_111;1170.00;6
Нагреватель для аквариума Newa Therm eco VTO100W;00_36_112;1230.00;20
Нагреватель для аквариума Newa Therm eco VTO300W;00_36_115;1460.00;3
Нагреватель для аквариума Newa Therm next NTX50W;00_87_001;1930.00;30
Нагреватель для аквариума Newa Therm next NTX100W;00_87_002;2020.00;23
Нагреватель для аквариума Newa Therm next NTX150W;00_87_003;2100.00;31
Нагреватель для аквариума Newa Therm next NTX200W;00_87_004;2140.00;5
Помпа течения для аквариума Newa Maxi power head MP400;00_05_520;1590.00;15
Помпа течения для аквариума Newa Maxi power head MP600;00_05_521;1810.00;14
Фильтр для аквариума Newa Kanist NKF250;00_88_001;7800.00;2
Фильтр для аквариума Newa Duetto DJ100;00_08_106;1840.00;9
Фильтр для аквариума Newa Duetto DJ150;00_08_107;2120.00;13
Фильтр для аквариума Newa Micro MCF70;00_24_056;1400.00;8
Фильтр для аквариума Newa Motion NWM300;00_38_070;1690.00;2
Шланг гибкий ПВХ 4/6, 3 м;00_66_035;263.00;1
Шланг силиконовый 4/6, 2,5 м ;00_66_038;533.00;2
Фильтр воздушный для компрессора 2 шт.;00_66_051;145.00;3
Аквариум Newa More NMO 30, 28 л, черный ;00_85_002;10400.00;9
Аквариум Newa More NMO 50, 45 л, черный ;00_85_051;15700.00;3
Аквариум Newa More reef NMO 30R, 28 л, черный ;00_85_050;15700.00;9
Аквариум Newa More NMO 30W 28 л, белый ;00_85_012;10400.00;2
Аквариум Newa More reef NMO 30RW, 28 л, белый ;00_85_070;15700.00;9
Перосъёмные пальцы PR948-50;DI948SH50;42.00;20134
Бирка ушная Beltag Midi папа желтая;0403550YEL-50;15.00;2450
Матрица 2 мм для гранулятора G150;DIE20;9780.00;6
Матрица 3 мм для гранулятора G150;DIE30;8150.00;2
Матрица 6 мм для гранулятора G150;DIE60;8150.00;9
Перосъёмная машина NT-600 для бройлеров, кур и уток;NT-600;36300.00;19
Перосъёмные пальцы PR948-60;DI948SH60;42.00;2562
Клетка для мелких грызунов ABODE, розовая;19191;3790.00;18
Лоток для куриных яиц синий;YL5216-BLU;158.00;140
